Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
audrey,audrey_scrap2_Polygon-14,11.63,1.00,92.00,10,5.00,5.00,43.01
audrey,audrey_scrap2_Polygon-13,11.83,1.00,92.00,10,5.00,5.00,42.25
audrey,audrey_scrap2_Polygon-16,14.35,1.00,92.00,16,8.00,8.00,55.75
audrey,audrey_scrap2_Polygon-2,23.93,1.00,92.00,36,18.00,18.00,75.23
audrey,audrey_scrap2_Polygon-6,6.08,1.00,92.00,8,4.00,4.00,65.75
audrey,audrey_scrap2_Polygon-7,41.62,1.00,92.00,61,30.50,30.50,73.28
audrey,audrey_scrap2_Polygon-10,11.35,1.00,92.00,10,5.00,5.00,44.06
audrey,audrey_scrap2_Polygon-5,2.61,1.00,92.00,2,1.00,1.00,38.28
audrey,audrey_scrap2_Polygon-9,11.20,1.00,92.00,10,5.00,5.00,44.64
audrey,audrey_scrap2_Polygon-3,1.23,1.00,92.00,1,0.50,0.50,40.52
audrey,audrey_scrap2_Polygon-18,11.56,1.00,92.00,12,6.00,6.00,51.91
audrey,audrey_scrap2_Polygon-11,11.36,1.00,92.00,10,5.00,5.00,44.03
audrey,audrey_scrap2_Polygon-17,7.68,1.00,92.00,8,4.00,4.00,52.07
audrey,audrey_scrap2_Polygon-4,4.57,1.00,92.00,6,3.00,3.00,65.67
audrey,audrey_scrap2_Polygon-12,11.37,1.00,92.00,10,5.00,5.00,43.99
audrey,audrey_scrap2_Polygon-15,14.04,1.00,92.00,16,8.00,8.00,56.97
audrey,audrey_scrap2_Polygon-8,55.98,1.00,92.00,64,32.00,32.00,57.16
audrey,audrey_scrap4_Polygon-25,32.04,1.00,83.00,48,24.00,24.00,74.90
audrey,audrey_scrap4_Polygon-2,11.20,1.00,83.00,13,6.50,6.50,58.05
audrey,audrey_scrap4_Polygon-7,10.05,1.00,83.00,10,5.00,5.00,49.77
audrey,audrey_scrap4_Polygon-23,7.39,1.00,83.00,6,3.00,3.00,40.58
audrey,audrey_scrap4_Polygon-3,18.76,1.00,83.00,24,12.00,12.00,63.98
