scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
audrey_scrap2_Polygon-14,audrey,11.6258,10,43.0077,10,43.0077,10,43.0077,10,43.0077
audrey_scrap2_Polygon-13,audrey,11.8335,10,42.2530,10,42.2530,10,42.2530,10,42.2530
audrey_scrap2_Polygon-16,audrey,14.3487,16,55.7544,16,55.7544,16,55.7544,16,55.7544
audrey_scrap2_Polygon-2,audrey,23.9255,36,75.2335,36,75.2335,36,75.2335,36,75.2335
audrey_scrap2_Polygon-6,audrey,6.0841,6,49.3092,8,65.7456,8,65.7456,8,65.7456
audrey_scrap2_Polygon-7,audrey,41.6214,60,72.0783,61,73.2796,61,73.2796,61,73.2796
audrey_scrap2_Polygon-10,audrey,11.3471,10,44.0641,10,44.0641,10,44.0641,10,44.0641
audrey_scrap2_Polygon-5,audrey,2.6121,2,38.2839,2,38.2839,2,38.2839,2,38.2839
audrey_scrap2_Polygon-9,audrey,11.1999,10,44.6432,10,44.6432,10,44.6432,10,44.6432
audrey_scrap2_Polygon-3,audrey,1.2341,0,0.0000,1,40.5170,1,40.5170,1,40.5170
audrey_scrap2_Polygon-18,audrey,11.5578,12,51.9131,12,51.9131,12,51.9131,12,51.9131
audrey_scrap2_Polygon-11,audrey,11.3555,10,44.0315,10,44.0315,10,44.0315,10,44.0315
audrey_scrap2_Polygon-17,audrey,7.6824,6,39.0505,8,52.0673,8,52.0673,8,52.0673
audrey_scrap2_Polygon-4,audrey,4.5683,6,65.6701,6,65.6701,6,65.6701,6,65.6701
audrey_scrap2_Polygon-12,audrey,11.3673,10,43.9860,10,43.9860,10,43.9860,10,43.9860
audrey_scrap2_Polygon-15,audrey,14.0431,16,56.9674,16,56.9674,16,56.9674,16,56.9674
audrey_scrap2_Polygon-8,audrey,55.9797,64,57.1636,64,57.1636,64,57.1636,64,57.1636
audrey_scrap4_Polygon-25,audrey,32.0414,48,74.9030,48,74.9030,48,74.9030,48,74.9030
audrey_scrap4_Polygon-2,audrey,11.1976,13,58.0480,12,53.5827,13,58.0480,13,58.0480
audrey_scrap4_Polygon-7,audrey,10.0468,10,49.7670,10,49.7670,10,49.7670,10,49.7670
audrey_scrap4_Polygon-23,audrey,7.3921,6,40.5840,6,40.5840,6,40.5840,6,40.5840
audrey_scrap4_Polygon-3,audrey,18.7559,24,63.9798,24,63.9798,24,63.9798,24,63.9798
audrey_scrap4_Polygon-24,audrey,9.2251,10,54.1997,10,54.1997,10,54.1997,10,54.1997
audrey_scrap4_Polygon-14,audrey,2.5028,2,39.9559,2,39.9559,2,39.9559,2,39.9559
audrey_scrap4_Polygon-8,audrey,10.7723,10,46.4153,10,46.4153,10,46.4153,10,46.4153
audrey_scrap4_Polygon-18,audrey,6.1846,7,56.5925,6,48.5078,7,56.5925,7,56.5925
audrey_scrap4_Polygon-26,audrey,6.2044,10,80.5882,10,80.5882,10,80.5882,10,80.5882
audrey_scrap4_Polygon-20,audrey,6.5072,4,30.7353,5,38.4191,5,38.4191,5,38.4191
audrey_scrap4_Polygon-17,audrey,4.6619,6,64.3521,6,64.3521,6,64.3521,6,64.3521
audrey_scrap4_Polygon-13,audrey,5.2978,6,56.6273,6,56.6273,6,56.6273,6,56.6273
audrey_scrap4_Polygon-9,audrey,5.3015,4,37.7252,4,37.7252,4,37.7252,4,37.7252
audrey_scrap4_Polygon-10,audrey,4.9284,4,40.5808,4,40.5808,4,40.5808,4,40.5808
audrey_scrap4_Polygon-12,audrey,4.7879,4,41.7724,5,52.2155,5,52.2155,5,52.2155
audrey_scrap4_Polygon-11,audrey,10.8010,10,46.2921,10,46.2921,10,46.2921,10,46.2921
audrey_scrap4_Polygon-16,audrey,6.1949,4,32.2847,4,32.2847,4,32.2847,4,32.2847
audrey_scrap4_Polygon-19,audrey,5.3483,6,56.0925,6,56.0925,6,56.0925,6,56.0925
audrey_scrap4_Polygon-5,audrey,18.0978,24,66.3063,24,66.3063,24,66.3063,24,66.3063
audrey_scrap4_Polygon-22,audrey,9.1274,8,43.8242,8,43.8242,8,43.8242,8,43.8242
audrey_scrap4_Polygon-27,audrey,8.9064,12,67.3675,12,67.3675,12,67.3675,12,67.3675
audrey_scrap4_Polygon-21,audrey,5.4399,4,36.7654,4,36.7654,4,36.7654,4,36.7654
audrey_scrap4_Polygon-15,audrey,2.5064,2,39.8981,2,39.8981,2,39.8981,2,39.8981
audrey_scrap4_Polygon-28,audrey,9.9698,11,55.1666,12,60.1817,12,60.1817,12,60.1817
audrey_scrap4_Polygon-4,audrey,26.3128,33,62.7071,32,60.8069,33,62.7071,33,62.7071
audrey_scrap4_Polygon-6,audrey,10.5819,18,85.0505,18,85.0505,18,85.0505,18,85.0505
audrey_scrap1_Polygon-2,audrey,20.8838,20,47.8839,20,47.8839,20,47.8839,20,47.8839
audrey_scrap1_Polygon-11,audrey,12.4615,12,48.1481,12,48.1481,12,48.1481,12,48.1481
audrey_scrap1_Polygon-7,audrey,11.6711,18,77.1139,18,77.1139,18,77.1139,18,77.1139
audrey_scrap1_Polygon-14,audrey,35.7332,46,64.3658,44,61.5673,46,64.3658,46,64.3658
audrey_scrap1_Polygon-4,audrey,7.9507,6,37.7324,6,37.7324,6,37.7324,6,37.7324
