scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
audrey_scrap2_Polygon-14,audrey,11.63,10,43.01,16,68.81,12,51.61
audrey_scrap2_Polygon-13,audrey,11.83,10,42.25,16,67.60,12,50.70
audrey_scrap2_Polygon-16,audrey,14.35,16,55.75,24,83.63,21,73.18
audrey_scrap2_Polygon-2,audrey,23.93,36,75.23,24,50.16,32,66.87
audrey_scrap2_Polygon-6,audrey,6.08,8,65.75,8,65.75,4,32.87
audrey_scrap2_Polygon-7,audrey,41.62,61,73.28,42,50.45,58,69.68
audrey_scrap2_Polygon-10,audrey,11.35,10,44.06,16,70.50,12,52.88
audrey_scrap2_Polygon-5,audrey,2.61,2,38.28,2,38.28,1,19.14
audrey_scrap2_Polygon-9,audrey,11.20,10,44.64,15,66.96,11,49.11
audrey_scrap2_Polygon-3,audrey,1.23,1,40.52,0,0.00,0,0.00
audrey_scrap2_Polygon-18,audrey,11.56,12,51.91,14,60.57,10,43.26
audrey_scrap2_Polygon-11,audrey,11.36,10,44.03,16,70.45,12,52.84
audrey_scrap2_Polygon-17,audrey,7.68,8,52.07,0,0.00,8,52.07
audrey_scrap2_Polygon-4,audrey,4.57,6,65.67,0,0.00,4,43.78
audrey_scrap2_Polygon-12,audrey,11.37,10,43.99,16,70.38,12,52.78
audrey_scrap2_Polygon-15,audrey,14.04,16,56.97,24,85.45,17,60.53
audrey_scrap2_Polygon-8,audrey,55.98,64,57.16,86,76.81,60,53.59
audrey_scrap4_Polygon-25,audrey,32.04,48,74.90,48,74.90,46,71.78
audrey_scrap4_Polygon-2,audrey,11.20,13,58.05,10,44.65,7,31.26
audrey_scrap4_Polygon-7,audrey,10.05,10,49.77,16,79.63,10,49.77
audrey_scrap4_Polygon-23,audrey,7.39,6,40.58,8,54.11,8,54.11
audrey_scrap4_Polygon-3,audrey,18.76,24,63.98,30,79.97,28,74.64
audrey_scrap4_Polygon-24,audrey,9.23,10,54.20,15,81.30,8,43.36
audrey_scrap4_Polygon-14,audrey,2.50,2,39.96,4,79.91,2,39.96
audrey_scrap4_Polygon-8,audrey,10.77,10,46.42,15,69.62,11,51.06
audrey_scrap4_Polygon-18,audrey,6.18,7,56.59,8,64.68,6,48.51
audrey_scrap4_Polygon-26,audrey,6.20,10,80.59,8,64.47,4,32.24
audrey_scrap4_Polygon-20,audrey,6.51,5,38.42,8,61.47,6,46.10
audrey_scrap4_Polygon-17,audrey,4.66,6,64.35,4,42.90,3,32.18
audrey_scrap4_Polygon-13,audrey,5.30,6,56.63,4,37.75,4,37.75
audrey_scrap4_Polygon-9,audrey,5.30,4,37.73,8,75.45,4,37.73
audrey_scrap4_Polygon-10,audrey,4.93,4,40.58,5,50.73,4,40.58
audrey_scrap4_Polygon-12,audrey,4.79,5,52.22,4,41.77,3,31.33
audrey_scrap4_Polygon-11,audrey,10.80,10,46.29,16,74.07,12,55.55
audrey_scrap4_Polygon-16,audrey,6.19,4,32.28,8,64.57,6,48.43
audrey_scrap4_Polygon-19,audrey,5.35,6,56.09,4,37.39,4,37.39
audrey_scrap4_Polygon-5,audrey,18.10,24,66.31,27,74.59,21,58.02
audrey_scrap4_Polygon-22,audrey,9.13,8,43.82,12,65.74,10,54.78
audrey_scrap4_Polygon-27,audrey,8.91,12,67.37,12,67.37,9,50.53
audrey_scrap4_Polygon-21,audrey,5.44,4,36.77,8,73.53,6,55.15
audrey_scrap4_Polygon-15,audrey,2.51,2,39.90,1,19.95,2,39.90
audrey_scrap4_Polygon-28,audrey,9.97,12,60.18,14,70.21,12,60.18
audrey_scrap4_Polygon-4,audrey,26.31,33,62.71,36,68.41,35,66.51
audrey_scrap4_Polygon-6,audrey,10.58,18,85.05,16,75.60,15,70.88
audrey_scrap1_Polygon-2,audrey,20.88,20,47.88,32,76.61,22,52.67
audrey_scrap1_Polygon-11,audrey,12.46,12,48.15,16,64.20,13,52.16
audrey_scrap1_Polygon-7,audrey,11.67,18,77.11,16,68.55,15,64.26
audrey_scrap1_Polygon-14,audrey,35.73,46,64.37,42,58.77,51,71.36
audrey_scrap1_Polygon-4,audrey,7.95,6,37.73,12,75.46,8,50.31
audrey_scrap1_Polygon-15,audrey,39.44,50,63.39,37,46.91,49,62.12
audrey_scrap1_Polygon-10,audrey,4.30,4,46.50,4,46.50,2,23.25
audrey_scrap1_Polygon-9,audrey,21.07,21,49.83,26,61.69,33,78.30
audrey_scrap1_Polygon-12,audrey,2.80,0,0.00,2,35.75,0,0.00
audrey_scrap1_Polygon-6,audrey,10.51,12,57.07,15,71.33,8,38.04
audrey_scrap1_Polygon-3,audrey,28.38,48,84.58,36,63.44,34,59.91
audrey_scrap1_Polygon-5,audrey,8.00,6,37.50,12,74.99,8,50.00
audrey_scrap1_Polygon-13,audrey,18.52,18,48.60,27,72.90,18,48.60
audrey_scrap1_Polygon-8,audrey,81.75,149,91.13,142,86.85,137,83.79
audrey_scrap5_Polygon-12,audrey,6.99,6,42.94,8,57.25,6,42.94
audrey_scrap5_Polygon-20,audrey,77.95,96,61.58,63,40.41,98,62.86
audrey_scrap5_Polygon-10,audrey,4.18,0,0.00,0,0.00,0,0.00
audrey_scrap5_Polygon-5,audrey,9.62,12,62.38,12,62.38,11,57.18
audrey_scrap5_Polygon-17,audrey,14.52,14,48.20,18,61.97,13,44.76
audrey_scrap5_Polygon-16,audrey,6.81,6,44.04,8,58.72,5,36.70
audrey_scrap5_Polygon-18,audrey,17.34,28,80.75,18,51.91,26,74.98
audrey_scrap5_Polygon-9,audrey,59.86,94,78.52,90,75.18,93,77.68
audrey_scrap5_Polygon-3,audrey,7.97,8,50.17,10,62.71,8,50.17
audrey_scrap5_Polygon-13,audrey,7.11,6,42.17,8,56.23,6,42.17
audrey_scrap5_Polygon-19,audrey,7.21,6,41.59,8,55.45,6,41.59
audrey_scrap5_Polygon-6,audrey,8.60,12,69.75,10,58.13,9,52.31
audrey_scrap5_Polygon-14,audrey,7.09,6,42.31,8,56.42,6,42.31
audrey_scrap5_Polygon-7,audrey,9.34,11,58.91,10,53.55,10,53.55
audrey_scrap5_Polygon-2,audrey,9.05,8,44.19,10,55.23,12,66.28
audrey_scrap5_Polygon-8,audrey,8.68,11,63.37,10,57.61,8,46.09
audrey_scrap5_Polygon-21,audrey,34.59,41,59.27,28,40.48,37,53.49
audrey_scrap5_Polygon-15,audrey,21.81,35,80.23,24,55.02,31,71.06
audrey_scrap5_Polygon-4,audrey,6.80,7,51.46,8,58.81,9,66.16
audrey_scrap5_Polygon-11,audrey,7.54,6,39.77,8,53.03,6,39.77
audrey_scrap3_Polygon-18,audrey,11.24,10,44.49,16,71.19,12,53.39
audrey_scrap3_Polygon-2,audrey,34.41,50,72.66,56,81.38,54,78.47
audrey_scrap3_Polygon-4,audrey,4.28,4,46.73,4,46.73,4,46.73
audrey_scrap3_Polygon-12,audrey,5.50,7,63.58,5,45.41,5,45.41
audrey_scrap3_Polygon-5,audrey,38.36,67,87.33,64,83.42,60,78.21
audrey_scrap3_Polygon-17,audrey,10.08,8,39.67,11,54.55,8,39.67
audrey_scrap3_Polygon-16,audrey,14.38,16,55.64,18,62.59,15,52.16
audrey_scrap3_Polygon-14,audrey,4.05,0,0.00,0,0.00,0,0.00
audrey_scrap3_Polygon-6,audrey,11.91,10,41.98,16,67.18,12,50.38
audrey_scrap3_Polygon-15,audrey,14.66,18,61.38,18,61.38,15,51.15
audrey_scrap3_Polygon-10,audrey,36.80,60,81.53,53,72.02,56,76.10
audrey_scrap3_Polygon-7,audrey,6.34,2,15.78,7,55.23,0,0.00
audrey_scrap3_Polygon-9,audrey,15.90,21,66.04,24,75.48,18,56.61
audrey_scrap3_Polygon-3,audrey,36.24,60,82.79,56,77.27,54,74.51
audrey_scrap3_Polygon-11,audrey,16.14,19,58.85,24,74.34,22,68.14
audrey_scrap3_Polygon-8,audrey,37.85,60,79.25,64,84.53,55,72.65
audrey_scrap3_Polygon-13,audrey,5.86,6,51.15,5,42.63,4,34.10
audrey_scrap7_Polygon-8,audrey,11.70,10,42.73,16,68.37,12,51.28
audrey_scrap7_Polygon-15,audrey,11.70,10,42.73,16,68.37,12,51.28
audrey_scrap7_Polygon-12,audrey,12.50,24,96.01,16,64.00,12,48.00
audrey_scrap7_Polygon-3,audrey,11.28,10,44.33,16,70.92,11,48.76
audrey_scrap7_Polygon-17,audrey,11.47,11,47.97,15,65.41,11,47.97
audrey_scrap7_Polygon-6,audrey,11.63,10,42.99,16,68.78,12,51.59
audrey_scrap7_Polygon-2,audrey,11.74,10,42.61,15,63.91,12,51.13
audrey_scrap7_Polygon-9,audrey,12.69,12,47.29,20,78.82,14,55.17
audrey_scrap7_Polygon-4,audrey,11.84,11,46.44,14,59.11,11,46.44
audrey_scrap7_Polygon-18,audrey,12.40,10,40.34,16,64.54,12,48.41
audrey_scrap7_Polygon-5,audrey,11.80,10,42.37,15,63.56,11,46.61
audrey_scrap7_Polygon-11,audrey,12.17,12,49.30,16,65.74,12,49.30
audrey_scrap7_Polygon-19,audrey,11.17,11,49.23,14,62.65,10,44.75
audrey_scrap7_Polygon-10,audrey,12.03,12,49.88,16,66.51,12,49.88
audrey_scrap7_Polygon-7,audrey,11.63,10,43.01,16,68.81,12,51.61
audrey_scrap7_Polygon-21,audrey,13.32,21,78.82,16,60.05,12,45.04
audrey_scrap7_Polygon-14,audrey,11.36,11,48.44,15,66.05,11,48.44
audrey_scrap7_Polygon-22,audrey,12.79,14,54.72,16,62.54,12,46.90
audrey_scrap7_Polygon-20,audrey,12.89,12,46.55,16,62.07,12,46.55
audrey_scrap7_Polygon-16,audrey,11.51,11,47.77,16,69.49,12,52.11
audrey_scrap7_Polygon-13,audrey,12.01,12,49.95,16,66.60,12,49.95
audrey_scrap6_Polygon-5,audrey,62.33,104,83.43,102,81.83,92,73.81
audrey_scrap6_Polygon-2,audrey,129.14,219,84.79,216,83.63,215,83.25
audrey_scrap6_Polygon-4,audrey,48.07,80,83.20,78,81.12,72,74.88
audrey_scrap6_Polygon-3,audrey,200.52,344,85.78,318,79.29,342,85.28
audrey_scrap6_Polygon-7,audrey,15.70,24,76.43,16,50.96,22,70.06
audrey_scrap6_Polygon-6,audrey,13.85,12,43.32,16,57.76,22,79.42
