scrap_id,rectangularity,recovery_percentage,original_area_in2
audrey_scrap2_Polygon-14,0.9915,43.01,11.63
audrey_scrap2_Polygon-13,0.9866,42.25,11.83
audrey_scrap2_Polygon-16,0.9802,55.75,14.35
audrey_scrap2_Polygon-2,0.9783,75.23,23.93
audrey_scrap2_Polygon-6,0.6920,65.75,6.08
audrey_scrap2_Polygon-7,0.9681,73.28,41.62
audrey_scrap2_Polygon-10,0.9869,44.06,11.35
audrey_scrap2_Polygon-5,0.9766,38.28,2.61
audrey_scrap2_Polygon-9,0.9883,44.64,11.20
audrey_scrap2_Polygon-3,0.9606,40.52,1.23
audrey_scrap2_Polygon-18,0.9978,51.91,11.56
audrey_scrap2_Polygon-11,0.9820,44.03,11.36
audrey_scrap2_Polygon-17,0.9199,52.07,7.68
audrey_scrap2_Polygon-4,0.9882,65.67,4.57
audrey_scrap2_Polygon-12,0.9794,43.99,11.37
audrey_scrap2_Polygon-15,0.9828,56.97,14.04
audrey_scrap2_Polygon-8,0.9583,57.16,55.98
audrey_scrap4_Polygon-25,0.9828,74.90,32.04
audrey_scrap4_Polygon-2,0.9465,58.05,11.20
audrey_scrap4_Polygon-7,0.9827,49.77,10.05
audrey_scrap4_Polygon-23,0.9915,40.58,7.39
audrey_scrap4_Polygon-3,0.9895,63.98,18.76
audrey_scrap4_Polygon-24,0.9159,54.20,9.23
audrey_scrap4_Polygon-14,0.9726,39.96,2.50
audrey_scrap4_Polygon-8,0.9738,46.42,10.77
audrey_scrap4_Polygon-18,0.9850,56.59,6.18
audrey_scrap4_Polygon-26,0.9240,80.59,6.20
audrey_scrap4_Polygon-20,0.9892,38.42,6.51
audrey_scrap4_Polygon-17,0.9770,64.35,4.66
audrey_scrap4_Polygon-13,0.9711,56.63,5.30
audrey_scrap4_Polygon-9,0.9729,37.73,5.30
audrey_scrap4_Polygon-10,0.9758,40.58,4.93
audrey_scrap4_Polygon-12,0.9776,52.22,4.79
audrey_scrap4_Polygon-11,0.9962,46.29,10.80
audrey_scrap4_Polygon-16,0.9680,32.28,6.19
audrey_scrap4_Polygon-19,0.9912,56.09,5.35
audrey_scrap4_Polygon-5,0.9347,66.31,18.10
audrey_scrap4_Polygon-22,0.9938,43.82,9.13
audrey_scrap4_Polygon-27,0.9862,67.37,8.91
audrey_scrap4_Polygon-21,0.9842,36.77,5.44
audrey_scrap4_Polygon-15,0.9832,39.90,2.51
audrey_scrap4_Polygon-28,0.9727,60.18,9.97
audrey_scrap4_Polygon-4,0.9854,62.71,26.31
audrey_scrap4_Polygon-6,0.9748,85.05,10.58
audrey_scrap1_Polygon-2,0.9629,47.88,20.88
audrey_scrap1_Polygon-11,0.9936,48.15,12.46
audrey_scrap1_Polygon-7,0.9684,77.11,11.67
audrey_scrap1_Polygon-14,0.9778,64.37,35.73
audrey_scrap1_Polygon-4,0.9735,37.73,7.95
audrey_scrap1_Polygon-15,0.9350,63.39,39.44
audrey_scrap1_Polygon-10,0.9589,46.50,4.30
audrey_scrap1_Polygon-9,0.9833,49.83,21.07
audrey_scrap1_Polygon-6,0.9848,57.07,10.51
audrey_scrap1_Polygon-3,0.9375,84.58,28.38
audrey_scrap1_Polygon-5,0.9844,37.50,8.00
audrey_scrap1_Polygon-13,0.9593,48.60,18.52
audrey_scrap1_Polygon-8,0.9897,91.13,81.75
audrey_scrap5_Polygon-12,0.9370,42.94,6.99
audrey_scrap5_Polygon-20,0.9623,61.58,77.95
audrey_scrap5_Polygon-5,0.9724,62.38,9.62
audrey_scrap5_Polygon-17,0.9691,48.20,14.52
audrey_scrap5_Polygon-16,0.9867,44.04,6.81
audrey_scrap5_Polygon-18,0.9938,80.75,17.34
audrey_scrap5_Polygon-9,0.8875,78.52,59.86
