scrap_id,folder,target_area_in2,isosceles_recovery_pct,306090_recovery_pct,equilateral_recovery_pct
audrey_scrap2_Polygon-14,audrey,0.25,68.81,77.41,62.36
audrey_scrap2_Polygon-13,audrey,0.25,67.60,76.06,57.04
audrey_scrap2_Polygon-16,audrey,0.25,83.63,83.63,76.66
audrey_scrap2_Polygon-2,audrey,0.25,78.37,73.14,75.23
audrey_scrap2_Polygon-6,audrey,0.25,65.75,65.75,57.53
audrey_scrap2_Polygon-7,audrey,0.25,75.68,70.28,72.68
audrey_scrap2_Polygon-10,audrey,0.25,70.50,79.32,52.88
audrey_scrap2_Polygon-5,audrey,0.25,38.28,38.28,38.28
audrey_scrap2_Polygon-9,audrey,0.25,69.20,71.43,58.04
audrey_scrap2_Polygon-3,audrey,0.25,40.52,20.26,40.52
audrey_scrap2_Polygon-18,audrey,0.25,69.22,49.75,60.57
audrey_scrap2_Polygon-11,audrey,0.25,70.45,77.06,55.04
audrey_scrap2_Polygon-17,audrey,0.25,58.58,61.83,55.32
audrey_scrap2_Polygon-4,audrey,0.25,43.78,65.67,38.31
audrey_scrap2_Polygon-12,audrey,0.25,70.38,79.17,70.38
audrey_scrap2_Polygon-15,audrey,0.25,69.43,72.99,78.33
audrey_scrap2_Polygon-8,audrey,0.25,75.47,54.48,74.58
audrey_scrap4_Polygon-25,audrey,0.25,85.05,85.83,74.90
audrey_scrap4_Polygon-2,audrey,0.25,58.05,62.51,49.12
audrey_scrap4_Polygon-7,audrey,0.25,69.67,74.65,59.72
audrey_scrap4_Polygon-23,audrey,0.25,67.64,81.17,54.11
audrey_scrap4_Polygon-3,audrey,0.25,83.97,93.30,79.97
audrey_scrap4_Polygon-24,audrey,0.25,84.01,78.59,62.33
audrey_scrap4_Polygon-14,audrey,0.25,39.96,59.93,59.93
audrey_scrap4_Polygon-8,audrey,0.25,64.98,78.91,55.70
audrey_scrap4_Polygon-18,audrey,0.25,64.68,72.76,64.68
audrey_scrap4_Polygon-26,audrey,0.25,60.44,76.56,40.29
audrey_scrap4_Polygon-20,audrey,0.25,61.47,69.15,61.47
audrey_scrap4_Polygon-17,audrey,0.25,42.90,64.35,53.63
audrey_scrap4_Polygon-13,audrey,0.25,47.19,75.50,47.19
audrey_scrap4_Polygon-9,audrey,0.25,56.59,70.73,61.30
audrey_scrap4_Polygon-10,audrey,0.25,60.87,60.87,45.65
audrey_scrap4_Polygon-12,audrey,0.25,41.77,57.44,41.77
audrey_scrap4_Polygon-11,audrey,0.25,74.07,83.33,55.55
audrey_scrap4_Polygon-16,audrey,0.25,64.57,72.64,64.57
audrey_scrap4_Polygon-19,audrey,0.25,46.74,74.79,46.74
audrey_scrap4_Polygon-5,audrey,0.25,74.59,77.36,70.45
audrey_scrap4_Polygon-22,audrey,0.25,65.74,82.17,57.52
audrey_scrap4_Polygon-27,audrey,0.25,67.37,64.56,64.56
audrey_scrap4_Polygon-21,audrey,0.25,73.53,82.72,59.74
audrey_scrap4_Polygon-15,audrey,0.25,39.90,59.85,49.87
audrey_scrap4_Polygon-28,audrey,0.25,72.72,75.23,65.20
audrey_scrap4_Polygon-4,audrey,0.25,77.91,82.66,73.16
audrey_scrap4_Polygon-6,audrey,0.25,75.60,85.05,66.15
audrey_scrap1_Polygon-2,audrey,0.25,71.83,79.01,57.46
audrey_scrap1_Polygon-11,audrey,0.25,64.20,66.20,60.19
audrey_scrap1_Polygon-7,audrey,0.25,68.55,74.97,74.97
audrey_scrap1_Polygon-14,audrey,0.25,68.56,76.96,72.76
audrey_scrap1_Polygon-4,audrey,0.25,62.89,75.46,75.46
